question,options,answer,isMultiChoice,count
15.( )用于标示周围均为可航行水域，可用于标示航道中央或航道中线，也可用于标示航道口门、港口、通海河口或初见陆地。(中国海区水上助航标志7),"A.孤立危险物标,B.安全水域标,C.专用标,D.推荐航道右侧标",B,0,4
16.罐形浮标水线以上的标身在任何水平方向上观察时呈现的外形特征为？( )（航标术语4.6.9）,"A.正方形,B.长方形,C.矩形,D.菱形",(C),1,4
17.大型浮标largebuoy是具有圆柱形，浑身直径及灯光焦面高度均大于或等于( )m，标示港口口门、重要转向点等特定水域，供船舶测定船位，确定航向或为专用目的设置的浮动标志。(中国海区灯船和大型浮标制式3.2),"A.6,B.7,C.8,D.9",C,0,4
18.专用标志标体灯质为表示专用标特征的莫尔斯信号的( )灯光。(中国海区水上助航标志8),"A.白色,B.黑色,C.黄色,D.红色",C,0,4
19.专用标志标体为黄色，装有单个黄色( )顶标，是用于标示特定水域或水域特征的标志。(中国海区水上助航标志8),"A.锥形,B.球形,C.方形,D.X形",D,0,4
20.应急沉船示位标灯质为黄蓝光互闪3秒，蓝光和黄光轮流各闪1秒钟，中间暗( )秒。(海区应急沉船示位标管理规则),"A.0.5,B.1,C.1.5,D.2",A,0,4
21.下列属于推荐航道标志灯质的是( )。(中国海区水上助航标志4.3.2),"A.联闪2次白光周期5秒,B.快闪3次白光周期10秒。,C.混合联闪2次白光周期12秒,D.混合联闪2次加1次白光周期12秒",D,0,4
22.大型浮标或灯船夜间特征可以下列那种( )规定的灯质来表示。(中国海区灯船和大型浮标制式4.2),"A.单闪，红光，周期4S（明0.5S,暗3.5S）,B.单闪，绿光，周期4S（明0.5S,暗3.5S）,C.单闪，白光，周期4S（明0.5S,暗3.5S）,D.单闪，白光，周期6S（明0.5S,暗5.5S）",D,0,4
23.安全水城标志，标体为红白相间竖条装有一红色球形顶标的柱形或杆形。灯质为等明暗白光周期4秒或长闪白光周期10秒或莫尔斯信号( )白光周期6秒。(中国海区水上助航标志7),"A.“Q”,B.“A”,C.“P”,D.“O”",B,0,4
24.设置雷达应答器时的编码任选，但不得使用( )编码。(中国海区灯船和大型浮标制式4.3),"A.已被指定专门用途的莫尔斯信号“D”及“U”，以“点”为首的莫尔斯信号,B.已被指定专门用途的莫尔斯信号“D”及“U”，以“划”为首的莫尔斯信号,C.已被指定专门用途的莫尔斯信号“B”及“E”，以“点”为首的莫尔斯信号,D.已被指定专门用途的莫尔斯信号“B”及“E”，以“划”为首的莫尔斯信号",A,0,4
25.新危险物可以用雷达应答器来标示，要求在雷达荧光屏上显示一个相当于1nmile长度的图像，其编码为莫尔斯信号( )。(中国海区水上助航标志9.13),"A.D(—··),B.Ｍ(——),C.B（—···）,D.O（―――）",A,0,4
26.专用标用于海上作业标志用途的灯质周期为12秒，莫尔斯信号为( )。(中国海区水上助航标志8.5),"A.D(—··),B.M(——),C.B（—···）,D.O（―――）",D,0,4
27.专用标用于起锚地标志用途的灯质应为黄色，周期为12秒，莫尔斯信号为( )。(中国海区水上助航标志8.5),"A.D(—··),B.M(——),C.Q（——·—）,D.O（―――）",C,0,4
28.应急沉船示位标如考虑加设雷达应答器时，莫尔斯编码为( )。(海区应急沉船示位标管理规则),"A.D(—··),B.M(——),C.Q（——·—）,D.O（―――）",A,0,4
29.( )按照沿海航标管理办法规定的职责负责沿海航标的有关管理工作。（沿海航标管理办法第三条）,"A.国务院,B.交通部,C.交通部海事局,D.地方人民政府。",C,0,4
30.交通部海事局负责组织编制全国沿海航标总体规划，报( )批准。（沿海航标管理办法第五条）,"A.国务院,B.交通部,C.海事局,D.地方人民政府。",B,0,4
31.沿海航标管理机构负责本辖区范围内的沿海航标总体规划，报( )批准。（沿海航标管理办法第五条）,"A.国务院,B.交通部,C.交通部海事局,D.地方人民政府",C,0,4
32.设置沿海航标，应当按照国家有关规定向( )提出申请，取得相应机构的同意。（沿海航标管理办法第十二条）,"A.海区航标管理机关,B.沿海航标管理机构,C.上级航标管理机关,D.地方海事管理部门",B,0,4
33.航标管理机关和专业单位设置航标，应当符合国家有关规定和：( )(中华人民共和国航标条例第七条),"A.法律,B.法规,C.行政规章,D.技术标准",D,0,4
34.对沿海航标总体规划进行局部调整，应当：( )(沿海航标管理办法第六条),"A.报上级沿海航标管理机构批准,B.报交通部海事局备案,C.报交通部海事局批准,D.报交通部备案",B,0,4
35.沿海航标管理机构对沿海航标配布方案进行局部调整，应当：( )(沿海航标管理办法第九条),"A.报上级沿海航标管理机构批准,B.报交通部海事局备案,C.报交通部海事局批准,D.报交通部备案。",B,0,4
36.沿海航标管理机构对沿海航标配布方案进行重大变更，应当：( )(沿海航标管理办法第九条),"A.报上级沿海航标管理机构批准,B.报交通部海事局备案,C.报交通部海事局批准,D.报交通部备案。",C,0,4
37.航标投入使用后，需延长使用期限的，应当于截止日期前___提交书面延期申请。( )(海区航标设置管理办法第十四条),"A.20日,B.30日,C.40日,D.60日",B,0,4
38.全国海区航标设置管理的主管机关是( )，并负责第一类航标设置的规划和审批工作。(海区航标设置管理办法第五条),"A.国务院,B.交通部,C.海事局,D.地方人民政府",B,0,4
39.《海区航标设置管理办法》规定，航标设置书面申请应当在航标设置前( )日提交，并附有航标设计图纸资料一式二份。(海区航标设置管理办法第八条),"A.20,B.30,C.50,D.60",D,0,4
40.《海区航标设置管理办法》规定，辖区航标管理机关申请设置航标，海区航标管理机关应当自收到申请材料之日起，根据国家和交通部颁布的有关规定和技术标准进行审查，属于第二类航标设置的，由海区航标管理机关审批，并于( )日内将书面审批意见下达给辖区航标管理机关。(海区航标设置管理办法第十一条),"A.20,B.30,C.40,D.60",A,0,4
41.《海区航标设置管理办法》规定，辖区航标管理机关申请设置航标，海区航标管理机关应当自收到申请材料之日起，根据国家和交通部颁布的有关规定和技术标准进行审查属于第一类航标设置的，由海区航标管理机关审查，并于( )日内做出书面审查意见，报交通部审批。(海区航标设置管理办法第十一条),"A.20,B.30,C.40,D.60",A,0,4
42.交通部自收到申请材料之日起，应在( )日内将书面审批意见下达给海区航标管理机关，海区航标管理机关应及时通知辖区航标管理机关。(海区航标设置管理办法第十一条),"A.20,B.30,C.40,D.60",A,0,4
43..航标效能验收活动包括哪几部分？( )（出处：海区航标效能验收规范JT/T759-20095.1）,"A.技术测定和评估,B.航标用户意见收集和现场勘察,C.现场勘察和技术测定,D.现场勘察和评估",A,0,4
44.根据海区航标动态通报管理办法，第一类航标动态预计在______不能恢复正常的，应申请发布第二类航标动态。( )(海区航标动态通报管理办法第九条),"A.20日,B.30日,C.40日,D.60日。",B,0,4
45.根据海区航标动态通报管理办法，第二类航标动态应在航标变动前不少于( )申请发布航标动态。(海区航标动态通报管理办法第九条),"A.20日,B.30日,C.40日,D.60日。",A,0,4
46.下列那项变动情况时应发布第一类航标动态？( )(海区航标动态通报管理办法第四条),"A.灯质失常,B.调整位置,C.改变特征,D.航标设置",A,0,4
47.下列那项应发布第二类航标动态？( )(海区航标动态通报管理办法第四条),"A.灯光熄灭,B.灯质失常,C.飘失,D.航标设置",D,0,4
48.根据《中华人民共和国海上交通安全法》，航标和航道附近有碍航行安全的灯光，应当：( )(中华人民共和国海上交通安全法第二十五条),"A.撤除,B.移位,C.遮蔽,D.改变",C,0,4
49.《中华人民共和国航标条例》规定，禁止在航标周围米内或者在埋有航标地下管道，线路的地面钻孔、挖坑、采掘土石、堆放物品或者进行明火作业；禁止在航标周围米内进行爆破作业；禁止在航标周围米内烧荒。( )（中华人民共和国航标条例第十七条）,"A.20,150,500,B.30,150,500,C.20,200,500,D.20,150,400",A,0,4
50.灯塔中的电力设置属于( )（中华人民共和国航标条例第十六条）,"A.航标,B.航标辅助设施,C.航标器材设施,D.助航设施",B,0,4
51.导标的前后标顶设计高程应( )计算的前标标顶最小高程，根据具体情况可适当加大。（水运工程导标设计规范5.2.5）,"A.不大于,B.不小于,C.小于,D.等于",B,0,4
52.导标轴线设计应使用最新测绘的海图或航道图，比例尺一般不小于( )，重要部位或地形复杂时可根据需要适当加大。（水运工程导标设计规范2.0.1）,"A.1/10000,B.1/100000,C.1/100,D.1/1000",A,0,4
53.灯浮全链节、半链节、短链节应各有几个转环？( )（浮标锚链2.6）,"A.1个,B.2个,C.3个,D.4个",A,0,4
54.( )负责并按照规定的时间、频率和要求播发海上航行警告？(中华人民共和国海上航行警告和航行通告管理规定第十三条),"A.海事执法部门,B.航标管理部门,C.海岸电台,D.海测大队",C,0,4
55.浮体直径的允许偏差为浮体直径的( )（浮标通用技术条件4.4.5）,"A.±1%,B.±2%,C.±3%,D.±5%",A,0,4
56.成形后的浮体表面应平整，平整度应小于( )（浮标通用技术条件4.3.3）,"A.3mm,B.4mm,C.5mm,D.6mm",D,0,4
57.浮标所有外露的金属边应圆滑过渡，其边缘的曲率半径不小于( )（浮标通用技术条件4.3.4）,"A.3mm,B.4mm,C.5mm,D.6mm",A,0,4
1.灯桩、导标和立标应( )大保养一次。（海区航标作业管理规则8.2）,"A.每月,B.每季度,C.每半年,D.每年",D,0,4
2.灯浮标、浮标起吊被更换灯浮标时，应检查锚链系统，磨损大于原直径( )的锚链、卸扣和转环应调换。（海区航标作业管理规则14.3）,"A.1/8,B.1/6,C.1/4,D.1/10",A,0,4
3.灯塔应在每年雷雨季节前检查避雷系统，保证接地电阻小于( )欧姆。（海区航标作业管理规则3.11）,"A.8,B.9,C.10,D.11",C,0,4
4.启动航标应急反应时，航标值班船在接到应急反应指令后( )分钟内具备开航条件，同时尽快备齐应急反应所需设备器材。（海区航标应急反应管理办法(试行)第五条）,"A.30,B.10,C.40,D.60",A,0,4
5.辖区航标处应按照本单位航标应急反应预案，( )至少举行一次航标应急反应演习，并做好记录。（海区航标应急反应管理办法(试行)第二十二条）,"A.每月,B.每季度,C.每半年,D.每年",C,0,4
6.灯塔的维修，应实行( )的原则。（中国海区历史灯塔保护管理办法(暂行)7.4）,"A.整洁干净,B.焕然一新,C.修旧如旧,D.体现现代感",C,0,4
7.建于孤岛或孤岛式建筑物上；或乡建制以下（不含乡建制）海岛的灯塔属于( )。（航标法规标准汇编——固定建（构）筑维护管理办法）,"A.A类灯塔,B.B类灯塔,C.C类灯塔",A,0,3
8.建于大陆、半岛或乡建制以上（含乡建制）海岛的灯塔属于( )。（航标法规标准汇编——固定建（构）筑维护管理办法）,"A.A类灯塔,B.B类灯塔,C.C类灯塔",B,0,3
9.凡在雾天、阴晦天气、下雪和暴风雨其能见度小于( )海里时均应发放雾号。（北方海区航标管理——音响航标）,"A.1,B.2,C.3,D.2.5",B,0,4
10.雾号所在地的能见度虽在( )海里以上，但听到附近船舶依照“国际海上避碰规则”的规定发放讯号时，应即放雾号，直到听不到船舶发放讯号为止。（北方海区航标管理——音响航标）,"A.1,B.2,C.3,D.2.5",B,0,4
11.航标处应根据雾号所在地附近的地理情况划定( )海里左右范围的显著易见的物标，以便灯塔人员观察，掌握雾号的发放。（北方海区航标管理——音响航标）,"A.1,B.2,C.3,D.2.5",B,0,4
12.塔形导标标身表面应选用表面比较粗糙的材料，正对导标轴线的标身平面可向后倾斜( )（航标法规标准——港口技术规范）,"A.1°-5°,B.5°-10°,C.8°-12°,D.10°-15°",B,0,4
13.在导标设计中，前后导标标顶高程和导标间距不变的情况下，标顶垂直张角将随观察者在使用段中所处位置的改变而变化，规范规定标顶垂直张角允许变化幅度为______，一般认为______为最有利的标顶垂直张角。( )（航标法规标准——港口技术规范）,"A.14′－60′，5′－10′,B.2′－14′，3′－4′,C.5′－10′，3′－4′,D.2′－14′，4′－6′",B,0,4
"14.导标设计中，标牌由有间隙的板条构成或牌面部分镂空时，其面积不得大于标牌面积的_____,间隙或空孔应不少于____处，并均匀分布。( )（航标法规标准——港口技术规范）","A.1/5，10,B.1/6，15,C.1/3，10,D.1/4，15",C,0,4
15.在风浪、流速较小，地质较好的港区水域，一般情况下采用单锚系方式，锚链宜取最大水深的____倍。( )（海区浮动标志设置规范）,"A.2－3,B.3－4,C.4－5,D.6－7",B,0,4
16.直线航道灯浮标的设置，原则上应达到：白天从一个标能见到同一航向上相邻的下一个标，夜间从一个灯标能见到同一航向上相邻的下两个灯标。一般情况下，连续设置侧面标志的间距取_____海里。( )（航标法规标准——港口技术规范）,"A.1海里,B.2海里,C.1－2海里,D.0.5－15海里",C,0,4
17.设置有无线电指向标或雾号的灯塔称为( )灯塔。（海区航标作业管理规则3.1）,"A.二合一,B.三合一,C.四合一,D.五合一",A,0,4
18.灯塔应根据实际条件制订具体消防措施，每年组织( )次消防演练，并记录于安全活动记录簿。灯塔人员应懂得灭火常识，会使用各种消防器材，做好防火工作。,"A.一,B.两,C.三,D.四",A,0,4
19.灯浮标、浮标保养时防锈漆干燥后，在浮体水线以上部分按要求罩涂油漆道。在浮体水线以下部分罩涂防腐漆道。( )（海区航标作业管理规则12.3）,"A.二、一,B.二、二,C.三、一,D.一、二",B,0,4
20.灯器安装使用前应经试运行。新灯器应连续正常运行( )小时、海区航标作业管理规则海区航标作业管理规则8.4,"A.24,B.12,C.36,D.48",A,0,4
21.修复灯器应连续正常运行( )小时。（海区航标作业管理规则海区航标作业管理规则8.4）,"A.24,B.72,C.36,D.48",B,0,4
22.视觉航标技术测定要求，在偏差允许范围内，浮动标志的推算沉石位置与设计位置误差值应小于( )。（航标效能验收规范5.2.1.1视觉航标）,"A.5m,B.15m,C.30m,D.50m",C,0,4
23.辖区航标处应在征询( )意见的基础上制订应急设标方案（包括标志的位置、种类、特征等）。（海区航标应急反应管理办法(试行)11.2）,"A.当地引航站,B.当地海事局,C.海区海事局,D.海区局导航处",B,0,4
24.航标灯器日光阀值一般规定为：( )（出处：航标实用手册P26）,"A.100±10Lux,B.200±10Lux,C.300±10Lux,D.300±50Lux",D,0,4
25.运用于浮标的LED灯，其透镜外径最大不超过mm，水平光强分布均匀，最小光强应大于最大光强的。( )（出处：航标实用手册P27）,"A.150，50%,B.150，60%,C.250，50%,D.250，60%",D,0,4
26.对LED灯耐老化的要求，定光工作一年或闪光工作三年后，电流不能低于公布光强的：( )（出处：航标实用手册P27）,"A.90%,B.80%,C.70%,D.60%",B,0,4
27.硅太阳能电池的光强特性之一是，短路电流与入射光强和电池受光面积成( )（出处：航标实用手册P33）,"A.正比,B.反比,C.不规则正变,D.对数正比",A,0,4
28.一灯塔的标称灯光射程24海里，装在一灯塔上（灯高64米），则该灯塔公布射程为：( )（出处：视觉航标基础理论P90）,"A.24海里,B.21.3海里,C.7.5海里,D.16.6海里",B,0,4
29.在实际应用中，点光源的视角定为( )以下。（出处：视觉航标基础理论P79）,"A.1′,B.2′,C.2.5′,D.3′",A,0,4
"30.大气透射率T=0.74,相当于气象能见度( )海里。（出处：航标实用手册P49）","A.5,B.10,C.15,D.20",B,0,4
31.光通量的单位是( )。（出处：视觉航标基础理论P31）,"A.lm,B.cd,C.nt,D.lx",A,0,4
32.光强的单位是( )。（出处：视觉航标基础理论P31）,"A.lm,B.cd,C.nt,D.lx",B,0,4
33.照度的单位是( )。（出处：视觉航标基础理论P31）,"A.lm,B.cd,C.nt,D.lx",D,0,4
34.根据航标产品型号命名方法，雷达应答器的产品代号是( )。（出处：航标法规标准汇编P437）,"A.HD,B.HF,C.yK,D.yD",D,0,4
35.光源置于焦点略高一点的位置，则经透镜折反元件射出来的光束向( )方向辐射。（航标光声学P293）,"A.偏下方,B.平行,C.偏上方",A,0,3
36.( )与浮标锚链配套设施中的系沉锤相连接。（浮标锚链5.2.2）,"A.马鞍链,B.全链节,C.半链节,D.短链节",B,0,4
37.混合联顿光的代号为：( )（航标术语4.5.17）,"A.Q,B.Oc,C.Iso,D.VQ",B,0,4
38.闪光次数每分钟不少于50次不超过80次的有节奏、不变色的灯光是( )（航标术语4.5.24）,"A.快闪光,B.单闪光,C.联顿光,D.连续快闪光",A,0,4
39.鼓形透镜的规格一般依照( )方式分类。（航标光声学P275）,"A.内径大小,B.透镜高度,C.外径大小,D.透镜周长",A,0,4
40.夜间船舶在我国沿海航行，发现某浮标灯质为:快闪或甚快闪，表明其( )存在危险物。,"A.北侧,B.东侧,C.南侧,D.西侧",(C),1,4
41.长闪光是指闪光明的时间不少于( )秒的单闪光。（GB4696附录表A1）,"A.1,B.2,C.2.5,D.342.",B,0,4
42.对雷达应答器的要求，旁瓣抑制度应大于：( )（出处：航标实用手册P28）,"A.10dB,B.20dB,C.30dB,D.40db",B,0,4
43.雷达应答器的编码是通过莫尔斯码字母来实现，而采用的莫尔斯码字母通常由“划”开始，并且一般不超过三“点”或三“划”，其中点划的长度比例为：( )（出处：航标法规标准汇编P60）,"A.1/3,B.1/4,C.1/5,D.1/6",A,0,4
44.无人看守的应答器，每月检测应( )一次，或按巡检周期进行。（出处：航标法规标准汇编P61）,"A.不少于,B.等于,C.不多于,D.多于",A,0,4
45.管理机关应每月( )安排巡检雷达应答器。（出处：航标法规标准汇编P61）,"A.两次,B.一次,C.不少于三次,D.至少一次",A,0,4
46.浮标锚链全链节的长度约为( )m。,"A.13.7,B.27.5,C.25.7,D.4.5",B,0,4
47.有人值守的重要的灯塔、导灯和灯船的可用性超过( )。（出处：北方海区航标管理P311）,"A.0.998,B.0.99,C.0.98,D.0.97",A,0,4
48.灯塔主体应具有明显视觉识别效果，满足安全，可靠、牢固，要求外形美观大方。塔身高度除应满足灯塔射程所需地理视距高度要求外，还应满足以下要求：三级灯塔：不小于( )。（出处：航标法规标准汇编P379）,"A.12M,B.10M,C.9M,D.8M",D,0,4
49.中国海区水上助航标志制度规则规定，用于标示横越区的专用标的闪光节奏为莫尔斯信号( )。（GB4696-2016）,"A.“Y”,B.“K”,C.“Z”,D.“C”",C,0,4
50.灯桩、导标、立标、灯浮标和浮标资料应( )，按规定填写，如有变动及时入档，首页按最新资料填写。（出处：航标法规标准汇编P50）,"A.一标多档,B.一标一档,C.多标一档",B,0,3
51.对分段涂色的水中固定标志，应将最下一段的涂色自___________尽量向下延伸。( )（出处：航标法规标准汇编P212）,"A.海平面,B.理论深度基准面,C.大潮高潮面,D.平均大潮高潮面",D,0,4
52.为减少船舶在某区段内所需航行时间而开辟的航道是( )（航标术语3.2.21）,"A.短捷航道,B.缓流航道,C.经济航道,D.快速航道",C,0,4
53.闪光次数每分钟不少于160次的有节奏、不变色的灯光是( )（航标术语4.5.30）,"A.超快闪光,B.连续超快闪光,C.连续快闪光,D.甚快闪光",A,0,4
54.推荐航道左侧标位于推荐航道的（），标示推荐航道位于本标的( )（航标术语4.6.23）,"A.左侧左侧,B.左侧右侧,C.右侧左侧,D.右侧右侧",B,0,4
55.推荐航道右侧标位于推荐航道的( )，标示推荐航道位于本标的（）（航标术语4.6.23）,"A.左侧左侧,B.左侧右侧,C.右侧左侧,D.右侧右侧",C,0,4
56.下列何种灯标可显示红色灯光( )。（GB4696）,"A.水平横纹,B.竖纹,C.黄色灯标,D.专用标",A,0,4
57.南方位标设在危险物或危险区的( )，标示危险物或危险区在本标的（）（航标术语4.6.25.1）,"A.北方北方,B.北方南方,C.南方北方,D.南方南方",C,0,4
58.海区航标效能验收规范要求，在偏差在允许范围内，活节式灯桩的推算沉石位置与设计位置误差值应小于( )（海区航标效能验收规范）,"A.8米,B.10米,C.12米,D.15米",C,0,4
59.( )级以上大风过境或受其他自然灾害袭击后，必须对灯桩、导标、立标、灯浮标和浮标进行一次全面巡检。(海区航标作业管理规则海区航标作业管理规则8.7),"A.8,B.9,C.10,D.11",(C),1,4
64.船舶夜间由海上驶近我国沿海某港口，发现⼀光质为Fl(2+1)G，表明( )。,"A.该标为左侧标,B.该标为右侧标,C.该标为推荐航道左侧标,D.该标为推荐航道右侧标",(D),1,4
65.安全水域标标身的颜色特征为( )。,"A.红黑红横纹,B.黑红黑横纹,C.红白相间横纹,D.红白相间竖纹",(D),1,4
66.与灯桩和立标相比，灯塔所具有的特点是( )。I.高大坚固;II.形状显著;III.射程较远;IV.工作可靠;V.位置准确。,"A.I~III,B.II~IV,C.III~V,D.I~V",(D),1,4
67.夜间航行，若发现前方有一绿色快闪或甚快闪的灯浮，则该标为( )。,"A.右侧标,B.北方位标,C.新危险物标,D.A或C",(A),1,4
68.桥孔通航能力在5000吨级以上，通航桥孔左侧标志标牌边长应不小于( )m。（中国海区可航行水域桥梁助航标志B.2.1）,"A.2,B.2.7,C.1.4,D.2",B,0,4
69.通航5000吨级及以上船舶的通航孔，其夜间航标灯光射程应不小于( )海里，其他通航桥孔的夜间航标灯光射程应不小于2海里。（中国海区可航行水域桥梁助航标志7.7）,"A.1,B.2,C.3,D.4",C,0,4
70.东方位标顶标结构为上下垂直设置的两个锥体，( )。,"A.锥顶均向上,B.锥底相对,C.锥顶均向下,D.锥顶相对",B,0,4
71.海图上陆地一般采用( )色表示。,"A.黄,B.浅蓝,C.浅绿,D.紫",A,0,4
72.海图上对可能对航行构成危害的不依比例表示暗礁应加绘危险线，危险线内设( )实色。,"A.黄,B.浅蓝,C.浅绿,D.紫",B,0,4
